Order_id,Order Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
1,02-09-2021,Aman,Uttarakhand,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,5.55
2,25-08-2022,Sudhir,Chhattisgarh,Office Supplies,Labels,Avery 508,11.78,3,4.27
3,29-09-2020,Aditi,Haryana,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,-64.77
4,01-11-2020,Aman,Tamil Nadu,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,-5.49
5,13-10-2023,Nitin,Meghalaya,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,4.88
6,17-11-2020,Ayush,Manipur,Office Supplies,Paper,Xerox 225,19.44,3,9.33
7,05-09-2022,Kabir,Arunachal Pradesh,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,5.24
8,20-11-2022,Saloni,Manipur,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,746.41
9,13-03-2022,Manisha,Telangana,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,274.49
10,01-09-2021,Tarun,Uttar Pradesh,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,1.48
11,03-01-2022,Avinash,Madhya Pradesh,Technology,Phones,GE 30524EE4,391.98,2,113.67
12,19-04-2023,Rohan,Rajasthan,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,204.11
13,05-10-2023,Aarav,Madhya Pradesh,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.31
14,03-07-2022,Advait,Himachal Pradesh,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,3.01
15,16-07-2021,Bhavana,Punjab,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,-53.71
16,09-11-2022,Vikas,Uttar Pradesh,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,-18.25
17,12-02-2020,Vaibhav,Kerala,Office Supplies,Art,Newell 312,9.34,2,1.17
18,03-05-2021,Sandeep,Rajasthan,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.20,3,9.75
19,30-11-2023,Kajal,Nagaland,Office Supplies,Labels,Avery 482,2.89,1,1.36
20,20-06-2021,Anjali,Kerala,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,21.30
21,19-09-2020,Shalini,Bihar,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,3.08
22,22-11-2022,Isha,Jharkhand,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34
23,14-05-2022,Ankit,Telangana,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,25.47
24,03-12-2021,Meera,Meghalaya,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,258.70
25,21-12-2020,Gunjan,Maharashtra,Office Supplies,Binders,3-ring staple pack,5.64,3,2.71
